iter	Passed	Remaining
419	2930	4046
420	2939	4042
421	2944	4032
422	2949	4022
423	2955	4014
424	2960	4004
425	2965	3995
426	2971	3987
427	2976	3977
428	2981	3967
429	2987	3960
430	2992	3950
431	2997	3940
432	3004	3934
433	3009	3925
434	3014	3915
435	3020	3907
436	3025	3898
437	3031	3889
438	3040	3885
439	3046	3876
440	3052	3869
441	3057	3859
442	3062	3850
443	3068	3842
444	3074	3834
445	3079	3825
446	3089	3822
447	3094	3812
448	3100	3804
449	3105	3795
450	3110	3786
451	3116	3778
452	3126	3775
453	3132	3767
454	3140	3761
455	3146	3753
456	3153	3746
457	3158	3737
458	3163	3728
459	3172	3723
460	3177	3714
461	3183	3707
462	3189	3699
463	3194	3689
464	3200	3682
465	3206	3673
466	3211	3664
467	3216	3656
468	3221	3647
469	3226	3638
470	3232	3630
471	3237	3621
472	3242	3612
473	3248	3604
474	3253	3595
475	3257	3586
476	3263	3577
477	3270	3571
478	3276	3563
479	3281	3555
480	3286	3546
481	3291	3537
482	3297	3529
483	3302	3520
484	3307	3511
485	3312	3502
486	3317	3495
487	3322	3486
488	3327	3477
489	3334	3470
490	3341	3464
491	3347	3456
492	3352	3447
493	3357	3439
494	3363	3431
495	3368	3423
496	3373	3414
497	3379	3406
498	3389	3402
499	3399	3399
500	3404	3390
501	3409	3381
502	3417	3376
503	3428	3374
504	3440	3372
505	3448	3366
506	3462	3367
507	3468	3359
508	3473	3350
509	3478	3342
510	3486	3336
511	3491	3327
512	3497	3320
513	3502	3311
514	3508	3304
515	3518	3300
516	3527	3295
517	3532	3287
518	3537	3278
519	3542	3270
520	3548	3262
521	3553	3253
522	3558	3245
523	3565	3238
524	3569	3229
525	3576	3223
526	3582	3215
527	3587	3207
528	3593	3199
529	3598	3191
530	3603	3182
531	3608	3174
532	3614	3166
533	3619	3158
534	3624	3149
535	3630	3142
536	3635	3134
537	3641	3127
538	3647	3119
539	3651	3110
540	3656	3102
541	3666	3098
542	3675	3093
543	3683	3087
544	3694	3084
545	3704	3080
546	3714	3075
547	3721	3069
548	3727	3062
549	3735	3056
550	3742	3049
551	3750	3043
552	3755	3035
553	3766	3032
554	3772	3024
555	3779	3017
556	3783	3009
557	3788	3000
558	3795	2994
559	3800	2986
560	3805	2977
561	3811	2970
562	3816	2962
563	3821	2953
564	3828	2947
565	3833	2939
566	3842	2934
567	3847	2925
568	3851	2917
569	3858	2910
570	3865	2904
571	3870	2896
572	3879	2890
573	3890	2887
574	3899	2882
575	3905	2875
576	3910	2866
577	3917	2859
578	3928	2856
579	3934	2849
580	3943	2844
581	3950	2837
582	3960	2832
583	3967	2826
584	3978	2822
585	3990	2819
586	4001	2815
587	4009	2809
588	4014	2801
589	4019	2793
590	4026	2786
591	4031	2778
592	4037	2771
593	4043	2763
594	4048	2755
595	4054	2748
596	4059	2740
597	4064	2732
598	4071	2725
599	4076	2717
600	4081	2709
601	4087	2702
602	4093	2694
603	4098	2687
604	4105	2680
605	4111	2672
606	4116	2665
607	4123	2658
608	4129	2650
609	4135	2643
610	4141	2636
611	4146	2628
612	4152	2621
613	4157	2613
614	4163	2606
615	4169	2599
616	4174	2591
617	4179	2583
618	4186	2576
619	4191	2568
620	4196	2561
621	4202	2554
622	4209	2547
623	4214	2539
624	4222	2533
625	4228	2526
626	4233	2518
627	4239	2511
628	4244	2503
629	4254	2498
630	4259	2490
631	4265	2483
632	4271	2476
633	4277	2469
634	4283	2462
635	4288	2454
636	4293	2446
637	4300	2440
638	4306	2432
639	4311	2425
640	4317	2418
641	4323	2410
642	4328	2403
643	4335	2396
644	4341	2389
645	4346	2381
646	4354	2375
647	4359	2368
648	4365	2361
